,song,artist
0,Life Goes On,BTS
1,Mood,24kGoldn Featuring iann dior
2,Dynamite,BTS
3,Positions,Ariana Grande
4,I Hope,Gabby Barrett Featuring Charlie Puth
5,Holy,Justin Bieber Featuring Chance The Rapper
6,Laugh Now Cry Later,Drake Featuring Lil Durk
7,Monster,Shawn Mendes & Justin Bieber
8,Blinding Lights,The Weeknd
9,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
10,Therefore I Am,Billie Eilish
11,Body,Megan Thee Stallion
12,Blue & Grey,BTS
13,All I Want For Christmas Is You,Mariah Carey
14,Dakiti,Bad Bunny & Jhay Cortez
15,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
16,Go Crazy,Chris Brown & Young Thug
17,Kings & Queens,Ava Max
18,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
19,More Than My Hometown,Morgan Wallen
20,Rockin' Around The Christmas Tree,Brenda Lee
21,Stay,BTS
22,WAP,Cardi B Featuring Megan Thee Stallion
23,Levitating,Dua Lipa Featuring DaBaby
24,Somebody's Problem,Morgan Wallen
25,Rockstar,DaBaby Featuring Roddy Ricch
26,Be Like That,Kane Brown With Swae Lee & Khalid
27,Before You Go,Lewis Capaldi
28,Bang!,AJR
29,34+35,Ariana Grande
30,Jingle Bell Rock,Bobby Helms
31,Lonely,Justin Bieber & benny blanco
32,ily,surf mesa Featuring Emilee
33,Said Sum,Moneybagg Yo
34,Hawai,Maluma & The Weeknd
35,Watermelon Sugar,Harry Styles
36,It's The Most Wonderful Time Of The Year,Andy Williams
37,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson
38,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
39,One Of Them Girls,Lee Brice
40,What You Know Bout Love,Pop Smoke
41,Last Christmas,Wham!
42,Pretty Heart,Parker McCollum
43,Happy Anywhere,Blake Shelton Featuring Gwen Stefani
44,Feliz Navidad,Jose Feliciano
45,Still Goin Down,Morgan Wallen
46,Better Together,Luke Combs
47,The Christmas Song (Merry Christmas To You),Nat King Cole
48,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
49,Love You Like I Used To,Russell Dickerson
50,"Big, Big Plans",Chris Lane
51,Starting Over,Chris Stapleton
52,Forever After All,Luke Combs
53,Prisoner,Miley Cyrus Featuring Dua Lipa
54,Holiday,Lil Nas X
55,Diamonds,Sam Smith
56,Wonder,Shawn Mendes
57,I Should Probably Go To Bed,Dan + Shay
58,7 Summers,Morgan Wallen
59,Come & Go,Juice WRLD x Marshmello
60,Ain't Always The Cowboy,Jon Pardi
61,Don't Stop,Megan Thee Stallion Featuring Young Thug
62,You Broke Me First.,Tate McRae
63,pov,Ariana Grande
64,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake
65,Whoopty,CJ
66,My Ex's Best Friend,Machine Gun Kelly X blackbear
67,B.S.,Jhene Aiko Featuring H.E.R.
68,Fly To My Room,BTS
69,Telepathy,BTS
70,Cry Baby,Megan Thee Stallion Featuring DaBaby
71,Dis-ease,BTS
72,Took Her To The O,King Von
73,Throat Baby (Go Baby),BRS Kash
74,Midnight Sky,Miley Cyrus
75,Champagne Night,Lady A
76,Tyler Herro,Jack Harlow
77,Franchise,Travis Scott Featuring Young Thug & M.I.A.
78,Good Time,Niko Moon
79,Girls In The Hood,Megan Thee Stallion
80,Golden,Harry Styles
81,Shots Fired,Megan Thee Stallion
82,Livin' The Dream,Morgan Wallen
83,Hit Different,SZA Featuring Ty Dolla $ign
84,Back To The Streets,Saweetie Featuring Jhene Aiko
85,Pain Away,Meek Mill Featuring Lil Durk
86,Hole In The Bottle,Kelsea Ballerini
87,U 2 Luv,Ne-Yo & Jeremih
88,Martin & Gina,Polo G
89,Drankin N Smokin,Future & Lil Uzi Vert
90,Wishing Well,Juice WRLD
91,Do It On The Tip,Megan Thee Stallion Featuring City Girls & Hot Girl Meg
92,Some Girls,Jameson Rodgers
93,Circles,Megan Thee Stallion
94,Put Your Records On,Ritt Momney
95,Popstar,DJ Khaled Featuring Drake
96,Bichota,Karol G
97,Happy Does,Kenny Chesney
98,Cover Me Up,Morgan Wallen
99,So Done,The Kid LAROI
0,POSITIONS,ARIANA GRANDE
1,THEREFORE I AM,BILLIE EILISH
2,SWEET MELODY,LITTLE MIX
3,SEE NOBODY,WES NELSON & HARDY CAPRIO
4,LEVITATING,DUA LIPA
5,YOU BROKE ME FIRST,TATE MCRAE
6,MIDNIGHT SKY,MILEY CYRUS
7,PRISONER,MILEY CYRUS FT DUA LIPA
8,MONSTER,SHAWN MENDES & JUSTIN BIEBER
9,LIFE GOES ON,BTS
10,REALLY LOVE,KSI/CRAIG DAVID/DIGITAL FARM
11,WHOOPTY,CJ
13,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
14,MOOD,24KGOLDN FT IANN DIOR
15,TRAIN WRECK,JAMES ARTHUR
16,DIAMONDS,SAM SMITH
17,PARADISE,MEDUZA FT DERMOT KENNEDY
18,HEAD & HEART,JOEL CORRY FT MNEK
19,LAST CHRISTMAS,WHAM
20,POV,ARIANA GRANDE
21,LEMONADE,INTERNET MONEY/GUNNA/TOLIVER
22,LONELY,JUSTIN BIEBER & BENNY BLANCO
23,GET OUT MY HEAD,SHANE CODD
24,WONDER,SHAWN MENDES
25,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL
26,GOLDEN,HARRY STYLES
27,GIANTS,DERMOT KENNEDY
28,WHAT YOU KNOW BOUT LOVE,POP SMOKE
29,SUNFLOWER,POST MALONE FT SWAE LEE
30,I MISS U,JAX JONES FT AU/RA
31,UFO,D-BLOCK EUROPE FT AITCH
32,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS
33,LOADING,CENTRAL CEE
34,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE
35,BLINDING LIGHTS,WEEKND
36,DYNAMITE,BTS
37,DO THEY KNOW IT'S CHRISTMAS,BAND AID
38,PLUGGED IN FREESTYLE,FUMEZ THE ENGINEER/A92/OFFICA
39,HOLY,JUSTIN BIEBER FT CHANCE
41,HOLIDAY,LIL NAS X
42,PRINCESS CUTS,HEADIE ONE FT YOUNG T & BUGSEY
43,FLAVOUR,LOSKI & STORMZY
44,LOOKING FOR ME,PAUL WOOLFORD & DIPLO/LOMAX
45,UNDERNEATH THE TREE,KELLY CLARKSON
46,LASTING LOVER,SIGALA & JAMES ARTHUR
47,ROCKIN' AROUND THE CHRISTMAS TREE,JUSTIN BIEBER
48,STEP INTO CHRISTMAS,ELTON JOHN
